Tag,Avrg_RT,Frequency,Is subset?,Avrg_RT/Freq
PSP,1.76836564171123,1496,No,0.0011820625947267579
SYM,1.5318380809595202,667,No,0.002296608817030765
NNP,1.9472907268170427,798,Yes,0.002440213943379753
VAUX,1.8999269005847952,684,Yes,0.0027776709072877123
NN,5.690473565804274,1778,No,0.0032004913193499854
PRON,2.6731960784313724,408,No,0.006551951172625913
CC,2.0436801346801348,297,No,0.006881077894545908
VM,7.000827361563518,921,No,0.007601332640134113
NNPC,2.6432175438596492,285,Yes,0.00927444752231456
QC,1.7642435897435897,156,No,0.011309253780407627
RP,1.5277286821705427,129,No,0.011842858001322036
RB,10.078130136986301,292,No,0.034514144304747606
NNC,6.657395833333333,192,Yes,0.034673936631944444
JJ,17.316004237288137,472,No,0.03668644965527148
DEM,4.231654545454545,110,No,0.0384695867768595
NEG,1.585179487179487,39,No,0.040645627876397104
QF,7.817213114754098,61,No,0.12815103466809996
QO,3.8576666666666664,24,No,0.1607361111111111
WQ,2.2514166666666666,12,No,0.18761805555555555
JJP,10.496317073170733,41,No,0.2560077334919691
RDP,2.9158888888888885,9,No,0.32398765432098764
INTF,15.809636363636365,22,No,0.7186198347107439
NST,44.732142857142854,14,No,3.1951530612244894
