index,sent_id,tokens,din_ann1,din_ann2
0,test-s178,मुकेश,0.0,0.0
1,test-s178,अपनी,0.0,0.0
2,test-s178,पत्नी,0.0,0.0
3,test-s178,नीता,1.0,1.0
4,test-s178,के,0.0,0.0
5,test-s178,साथ,1.0,0.0
6,test-s178,आनंद,0.0,1.0
7,test-s178,जैन,1.0,1.0
8,test-s178,की,0.0,0.0
9,test-s178,बेटी,0.0,0.0
10,test-s178,की,0.0,0.0
11,test-s178,शादी,1.0,1.0
12,test-s178,में,0.0,0.0
13,test-s178,शामिल,0.0,0.0
14,test-s178,होंगे,0.0,0.0
15,test-s178,।,1.0,0.0
16,test-s195,मोनिका,0.4138168503036338,0.6500224216483541
17,test-s195,को,1.0391062939495,1.0
18,test-s195,११,0.0,0.0
19,test-s195,नवंबर,0.0,0.0
20,test-s195,को,0.0,0.0
21,test-s195,अंडरवर्ल्ड,0.0360413223614584,0.0360413223614584
22,test-s195,डॉन,0.0,0.0
23,test-s195,अबू,0.0,0.0
24,test-s195,सलेम,1.0,1.0226297788901695
25,test-s195,के,0.0,0.0
26,test-s195,साथ,0.0,0.0
27,test-s195,पुर्तगाल,1.0,0.0
28,test-s195,से,0.0,0.0
29,test-s195,प्रत्यर्पित,0.0,0.0
30,test-s195,कर,0.2,0.0
31,test-s195,मुंबई,0.0,0.0
32,test-s195,लाया,0.5,0.0
33,test-s195,गया,0.0,1.0
34,test-s195,था,0.0,0.0
35,test-s195,।,1.0,0.0
36,test-s184,सरकारी,0.0,0.0
37,test-s184,सूत्रों,0.0,0.0
38,test-s184,ने,0.0,0.0
39,test-s184,नबताया,0.0,0.0
40,test-s184,कि,0.0,0.0
41,test-s184,इराक,0.0,0.0
42,test-s184,के,0.0,0.0
43,test-s184,प्रधानमंत्री,0.0,0.0
44,test-s184,इयाद,0.0,0.0
45,test-s184,अलावी,0.0,0.0
46,test-s184,ने,0.0,0.0
47,test-s184,अमेरिका,0.0,0.0
48,test-s184,के,0.0,0.0
49,test-s184,नेतृत्व,0.0,0.0
50,test-s184,वाली,0.0,0.0
51,test-s184,गठबंधन,0.0,0.0
52,test-s184,सेना,0.0,0.0
53,test-s184,को,0.0,0.0
54,test-s184,संदिग्ध,0.0,0.0
55,test-s184,आतंकियों,0.0,0.0
56,test-s184,के,0.0,0.0
57,test-s184,खिलाफ,0.0,0.0
58,test-s184,हमले,0.0,0.0
59,test-s184,की,0.0,0.0
60,test-s184,इजाज़त,1.0391062939495,1.0
61,test-s184,दी,0.0,0.0
62,test-s184,दथी,0.0,0.0
63,test-s184,और,0.0,0.0
64,test-s184,इसी,0.0,0.0
65,test-s184,के,0.0,0.0
66,test-s184,बाद,0.0,0.0
67,test-s184,कार्रवाई,0.0,0.0
68,test-s184,की,0.0,0.0
69,test-s184,गई,0.0,0.0
70,test-s184,।,1.0391062939495,1.0
71,dev-s58,इसकी,1.0,0.23
72,dev-s58,दीवारो,1.0,0.1
73,dev-s58,पर,1.0,0.24
74,dev-s58,जातक,0.0,0.0
75,dev-s58,कथाओं,1.0,0.28
76,dev-s58,से,1.0,0.23
77,dev-s58,संबंधित,0.0,0.2
78,dev-s58,पेंटिंग,1.0,0.4
79,dev-s58,अत्‍यंत,1.0,0.06
80,dev-s58,ही,1.0,0.22
81,dev-s58,आकर्षक,0.0,0.1
82,dev-s58,है,1.0,0.0
83,dev-s58,।,1.0,0.0
